region_kamp,region_muk,region_wak,educ_0,educ_1,educ_2,educ_3,empl,urban,age,relig_catholic,relig_prot,relig_bornagain,relig_muslim,relig_anglican,relig_christian,relig_adventist
1,0,0,0,0,0,1,0,0,26,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,1,26,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,0,27,0,1,0,0,0,0,0
1,0,0,0,0,1,0,1,1,27,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,1,28,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,1,29,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,1,29,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,1,30,0,1,0,0,0,0,0
1,0,0,0,0,1,0,1,1,31,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,1,33,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,1,33,0,1,0,0,0,0,0
1,0,0,0,0,1,0,1,1,35,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,1,40,0,1,0,0,0,0,0
NA,NA,NA,0,0,1,0,0,1,24,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,20,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,25,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,25,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,28,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,31,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,32,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,35,0,1,0,0,0,0,0
